Months,Total Vehicle Sold,district
Aug,10114,Bhadradri Kothagudem
Jan,10103,Kamareddy
Jun,10071,Medak
Sep,10060,Jagtial
Dec,9879,Bhadradri Kothagudem
Mar,9860,Jagtial
Oct,9856,Mahabubabad
Oct,9848,Medak
Oct,9836,Adilabad
May,9801,Siddipet
Jul,9711,Nagarkurnool
Apr,9673,Suryapet
Jun,9639,Peddapalli
Sep,9626,Bhadradri Kothagudem
Jan,9596,Jagtial
Nov,9571,Mancherial
Sep,9567,Kamareddy
May,9467,Kamareddy
Dec,9454,Jagtial
Nov,9373,Medak
Oct,9340,Rajanna Sircilla
Jan,9324,Nagarkurnool
Feb,9277,Yadadri Bhuvanagiri
Jun,9241,Jayashankar Bhupalpally
Oct,9227,Wanaparthy
Sep,9223,Yadadri Bhuvanagiri
Dec,9148,Yadadri Bhuvanagiri
Mar,9066,Medak
Nov,9050,Nirmal
Mar,9048,Mahabubabad
Jul,8909,Mahabubabad
Jun,8843,Mancherial
Feb,8814,Nirmal
Nov,8788,Peddapalli
Oct,8785,Jogulamba Gadwal
Jan,8755,Mahabubabad
Apr,8740,Siddipet
Dec,8725,Medak
Mar,8702,Mancherial
Feb,8591,Nagarkurnool
Aug,8516,Nagarkurnool
May,8493,Jagtial
Feb,8442,Medak
Nov,8397,Nagarkurnool
Aug,8389,Peddapalli
Oct,8366,Jayashankar Bhupalpally
Jun,8290,Nirmal
Apr,8115,Kamareddy
Feb,8049,Mahabubabad
Mar,8038,Adilabad
May,7991,Mahabubabad
Jul,7956,Jayashankar Bhupalpally
Aug,7931,Mancherial
Jul,7829,Nirmal
Feb,7808,Mancherial
Jul,7805,Mancherial
Jan,7721,Mancherial
May,7717,Yadadri Bhuvanagiri
Nov,7693,Mahabubabad
Jan,7686,Peddapalli
Sep,7677,Nagarkurnool
Jul,7621,Medak
Oct,7621,Jangoan
Jan,7606,Medak
Nov,7595,Jayashankar Bhupalpally
Mar,7560,Jayashankar Bhupalpally
Aug,7550,Nirmal
May,7537,Nagarkurnool
Mar,7531,Nirmal
Jul,7525,Jogulamba Gadwal
Aug,7511,Medak
Mar,7486,Peddapalli
Dec,7480,Mancherial
Feb,7475,Adilabad
Jun,7471,Jangoan
Feb,7460,Peddapalli
Dec,7433,Nagarkurnool
May,7432,Nirmal
Nov,7418,Jogulamba Gadwal
Nov,7415,Adilabad
Jul,7408,Peddapalli
Jan,7348,Nirmal
Apr,7344,Jagtial
Apr,7299,Yadadri Bhuvanagiri
Jun,7278,Wanaparthy
Jun,7163,Jogulamba Gadwal
Sep,7155,Medak
Aug,7140,Mahabubabad
Jan,7128,Jayashankar Bhupalpally
Mar,7107,Jogulamba Gadwal
Sep,7082,Mancherial
Dec,7006,Nirmal
Apr,6918,Nagarkurnool
Nov,6848,Jangoan
Sep,6833,Nirmal
Jun,6823,Rajanna Sircilla
Dec,6822,Peddapalli
Sep,6730,Peddapalli
Aug,6711,Jogulamba Gadwal
Jan,6672,Jogulamba Gadwal
Sep,6665,Mahabubabad
May,6643,Medak
Apr,6625,Medak
Nov,6579,Wanaparthy
Aug,6573,Rajanna Sircilla
Jul,6565,Wanaparthy
Jan,6545,Jangoan
Jan,6492,Adilabad
Apr,6482,Mancherial
Jul,6367,Jangoan
Apr,6306,Mahabubabad
Sep,6268,Jayashankar Bhupalpally
Aug,6253,Jayashankar Bhupalpally
Jul,6242,Adilabad
May,6205,Peddapalli
Mar,6186,Wanaparthy
May,6149,Mancherial
Jun,6131,Adilabad
Aug,6118,Wanaparthy
Feb,6115,Rajanna Sircilla
Sep,6087,Jangoan
Dec,6086,Mahabubabad
Mar,6072,Jangoan
May,6029,Jayashankar Bhupalpally
Nov,5997,Rajanna Sircilla
Feb,5996,Jayashankar Bhupalpally
Jan,5976,Rajanna Sircilla
Aug,5971,Jangoan
Aug,5918,Adilabad
May,5855,Adilabad
Sep,5814,Rajanna Sircilla
Apr,5757,Nirmal
Mar,5741,Rajanna Sircilla
Jan,5734,Wanaparthy
Dec,5712,Rajanna Sircilla
Feb,5700,Jogulamba Gadwal
Feb,5654,Jangoan
Apr,5644,Peddapalli
Apr,5622,Jayashankar Bhupalpally
Dec,5618,Jayashankar Bhupalpally
Dec,5542,Jangoan
Apr,5536,Adilabad
Sep,5523,Jogulamba Gadwal
May,5477,Jogulamba Gadwal
Dec,5467,Adilabad
Jul,5456,Rajanna Sircilla
Oct,5454,Kumurambheem Asifabad
Feb,5415,Wanaparthy
May,5302,Jangoan
Mar,5271,Kumurambheem Asifabad
Apr,5235,Jogulamba Gadwal
Jan,5207,Kumurambheem Asifabad
Sep,5135,Wanaparthy
May,4989,Wanaparthy
Dec,4980,Wanaparthy
Sep,4912,Adilabad
Apr,4809,Jangoan
Feb,4790,Kumurambheem Asifabad
Apr,4737,Wanaparthy
May,4683,Rajanna Sircilla
Dec,4524,Jogulamba Gadwal
Apr,4246,Rajanna Sircilla
Nov,4018,Kumurambheem Asifabad
Jun,3639,Kumurambheem Asifabad
Jul,3513,Kumurambheem Asifabad
Apr,3465,Kumurambheem Asifabad
Dec,3303,Kumurambheem Asifabad
May,3209,Kumurambheem Asifabad
Aug,3207,Kumurambheem Asifabad
Sep,2934,Kumurambheem Asifabad
